ENA-RUN,Depth,ENA-BASE-COUNT,ENA-SPOT-COUNT,Layer,LATITUDE,LONGITUDE,Protocol Label,Station,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Region
ERR599031,600,5809772374,29275624,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),20.8457,63.5851,BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,TARA_037,0.22,1.6,12.066048,IO
ERR599167,340,17746855829,91191543,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),19.0351,64.5638,BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,TARA_038,0.22,1.6,14.987618,IO
ERR594399,25,4569495503,23707953,deep chlorophyll maximum layer (ENVO:xxxxxxxx),19.0284,64.5126,VIRUS_NUC-Fe_W<-0.22,TARA_038,<,0.22,25.494408,IO
ERR594400,5,5495956062,28328329,surface water layer (ENVO:00002042),19.0393,64.4913,VIRUS_NUC-Fe_W<-0.22,TARA_038,<,0.22,26.2314,IO
ERR594330,5,7123898044,35266822,surface water layer (ENVO:00002042),19.0393,64.4913,GIRUS_NUC-dry_W0.1-0.22,TARA_038,0.1,0.22,26.2314,IO
ERR599158,5,7956171908,39699921,surface water layer (ENVO:00002042),19.0393,64.4913,BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,TARA_038,0.22,1.6,26.2314,IO
ERR594374,5,5557800782,28696101,surface water layer (ENVO:00002042),19.0393,64.4913,VIRUS_NUC-Fe_W<-0.22,TARA_038,<,0.22,26.2314,IO
ERR598949,25,6211136515,31343525,deep chlorophyll maximum layer (ENVO:xxxxxxxx),19.0284,64.5126,BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,TARA_038,0.22,1.6,25.494408,IO
ERR599102,5,17991872765,91220211,surface water layer (ENVO:00002042),19.0393,64.4913,BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,TARA_038,0.22,1.6,26.2314,IO
ERR599109,340,7746287042,38804069,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),19.0351,64.5638,BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,TARA_038,0.22,1.6,14.987618,IO
ERR594312,340,15910889156,78766778,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),19.0351,64.5638,GIRUS_NUC-dry_W0.1-0.22,TARA_038,0.1,0.22,14.987618,IO
