RUN,AMODIS:PAR8d,Chl_a [ugr/l],Chlorophyll,Date,Depth,ENA-SAMPLE,Einsteins/m-2/d-1,Environment (Feature),Lyapunov_exp.,NO2 [umol/L],NO2NO3 [umol/L],Nitrate Sensor,Nitrates [umol/L],Okubo-Weiss,Oxygen Sensor,Oxygen [umol/kg],PO4 [umol/L],POC [ugr/l],Region,SI [umol/L],Salinity Sensor,Salinity [PSU],Sample label [TARA_station#_environmental-feature_size-fraction],Sampling Station,SiOH4 [umol/l],Station,Temperature,grad_SST_adv,Crenarchaeota,Cyanophage,Euryarchaeota,Halovirus,MGII,MGII_virus,Prochlorococcus,SAR11,SAR116,SAR116_phage,SAR11_Phage,Synechococcus
ERR599050,43.5,,0.147822,15/04/2010 2:38,5.0,ERS491492,0.03,surface water layer (ENVO:00002042),,0.0,0.05,-0.39754,0.5,0.0,219.174917,185.7,0.1,,SPO,1.94,34.682604,35.1,TARA_094_SRF_0.22-3,TARA_094,,TARA_094,21.131962,1.19,0.00279490198059,7.06477445426,0.040893702385,0.0,0.334156753303,0.0165806908345,57.4159395418,105.204225878,0.16519798303,0.0607089731187,1.44737273463,0.846676645018
ERR599051,,,0.002017,04/11/2010 10:24,450.0,ERS493822,-0.04,mesopelagic zone (ENVO:00000213),1.91,0.0,0.02,36.886053,-0.4,0.08,0.78015,221.5,0.0,,NPO,0.48,34.608434,36.3,TARA_138_MES_0.22-3,TARA_138,,TARA_138,8.210557,14.53,0.241033576865,0.362885721279,0.059957443986,0.0,1.27950849252,0.0123443928443,0.297425241485,4.75713514685,0.0697345696,0.0,0.060862611536,0.0694363000454
ERR599052,,,0.038221,04/11/2010 19:34,5.0,ERS493390,-0.04,surface water layer (ENVO:00002042),1.91,0.05,0.1,-0.673592,0.5,0.08,224.407583,217.1,0.0,,NPO,0.32,33.099008,36.3,TARA_133_SRF_0.22-3,TARA_133,,TARA_133,19.249733,14.53,0.0039213090913,19.5652923949,0.0372144583884,0.0,1.29421357915,0.426800185801,62.6974107065,96.0965432897,0.212440512033,0.379612911264,3.65320886648,1.45151067603
ERR599053,,,0.47554,09/08/2011 19:06,60.0,ERS489074,-0.01,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.14,0.06,3.15,-0.224514,3.7,0.0,148.328125,160.5,0.56,,IO,1.34,36.496162,36.3,TARA_041_DCM_0.22-1.6,TARA_041,,TARA_041,27.117663,2.78,0.0828074538158,88.2778897632,0.0379873648095,0.0,31.433261293,4.03921643067,27.7725904089,55.3559582184,0.0594047082134,0.0563371668716,1.44965424814,0.254646403205
ERR599054,,,0.026898,18/10/2011 18:58,5.0,ERS489236,-0.16,surface water layer (ENVO:00002042),,0.0,0.02,2.575786,-0.7,0.03,185.243833,224.4,0.29,,IO,1.91,35.091133,33.1,TARA_045_SRF_0.22-1.6,TARA_045,,TARA_045,30.496383,40.67,0.00314233978671,25.8635093948,0.0297036791541,0.0,10.9694671694,0.0813931179886,275.885443124,57.3128612162,0.111861693233,0.0210841446782,0.253861165298,2.16462723397
ERR599055,28.9,,0.010087,02/07/2010 10:17,480.0,ERS491980,,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),,,,40.008967,-0.2,,4.42525,199.9,,,SPO,,34.69255,35.3,TARA_102_MES_0.22-3,TARA_102,,TARA_102,9.195825,,1.08472603604,0.200871936767,0.0799303284378,0.0,7.96369738997,0.0335824882454,0.170994201478,9.65685964995,0.0622541414037,0.00465321465997,0.0681996188196,0.12414865549
ERR599056,8.5,,0.42458,18/11/2009 12:42,50.0,ERS490296,-0.39,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.01,0.05,,,0.0,231.683361,224.3,0.01,,SAO,1.05,35.687803,38.4,TARA_068_DCM_0.22-3,TARA_068,,TARA_068,16.787411,1.89,0.213661966796,11.1402099138,0.0240870301447,0.0,6.31205685721,0.555661595771,115.764859058,34.6454730403,0.0556107562335,0.0179296046741,1.03470976534,8.05216677751
ERR599057,35.9,,0.04282,30/12/2011 12:56,5.0,ERS489712,0.34,surface water layer (ENVO:00002042),,0.0,0.0,,-1.7,0.16,193.05775,195.5,0.01,,IO,2.93,35.003133,34.3,TARA_056_SRF_0.22-3,TARA_056,,TARA_056,27.323117,0.0,0.00783184932747,60.206881871,0.0337932361987,0.0,50.7670839127,0.323081409638,164.102498539,55.8434243774,0.0898415490076,0.0145555006176,0.352285878715,1.25892259031
ERR599058,,,0.085544,09/01/2012 21:30,5.0,ERS489733,-3.49,surface water layer (ENVO:00002042),,0.02,0.06,,0.4,0.06,190.05375,193.0,0.02,,IO,1.17,35.05375,36.2,TARA_057_SRF_0.22-3,TARA_057,,TARA_057,26.965433,43.44,0.0405830143698,40.6541324343,0.0438776578427,0.0,41.3893537788,0.383512690561,108.903961805,60.8630945618,0.0937942114737,0.0190257767764,0.271257653713,33.5522510304
ERR599059,47.6,,0.109555,30/03/2010 2:56,5.0,ERS491001,-0.16,surface water layer (ENVO:00002042),0.43,0.0,0.09,24.423039,-1.3,0.03,338.2982,187.4,0.14,,SO,1.47,33.71972,36.0,TARA_084_SRF_0.22-3,TARA_084,,TARA_084,1.84402,21.64,0.00506883854401,0.176925440139,0.0401214934727,0.0,0.178639602669,0.0114016875504,0.121087619047,92.3702530973,0.118890222748,0.0102773890028,0.608886864934,0.066929579899
ERR599060,,,0.002017,04/11/2010 10:24,450.0,ERS493822,-0.04,mesopelagic zone (ENVO:00000213),1.91,0.0,0.02,36.886053,-0.4,0.08,0.78015,221.5,0.0,,NPO,0.48,34.608434,36.3,TARA_138_MES_0.22-3,TARA_138,,TARA_138,8.210557,14.53,0.248647347001,0.330899732233,0.0558807826501,0.0,1.20666405552,0.0119223429893,0.296169746319,4.75383953232,0.0692724738059,0.0,0.0455902681398,0.0684704471896
ERR599061,39.6,,0.224444,28/07/2011 19:36,80.0,ERS488599,0.0,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.1,2.8,1.201064,2.3,0.02,179.968,179.9,0.59,,RS,1.8,40.196433,36.1,TARA_032_DCM_0.22-1.6,TARA_032,,TARA_032,26.050367,8.42,0.46679849194,8.60677113972,0.0600182810723,0.0,35.2668014781,0.766146401374,23.8177807164,28.8591929121,0.0902004809426,0.00849814695174,1.15915583545,1.1366518356
