RUN,Chlorophyll,Depth,ENA-SAMPLE,Environment (Feature),Nitrate Sensor,Oxygen Sensor,Salinity Sensor,Sampling Station,Temperature
ERR594324,0.214573,65,ERS490010,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.112031,207.446227,35.335545,TARA_064,22.250309
ERR599226,0.214573,65,ERS490021,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.112031,207.446227,35.335545,TARA_064,22.250309
ERR594385,0.214573,65,ERS490026,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.112031,207.446227,35.335545,TARA_064,22.250309
ERR598979,0.215292,5,ERS490029,surface water layer (ENVO:00002042),99999,207.0439,35.44666,TARA_065,21.81684
ERR599146,0.215292,5,ERS490029,surface water layer (ENVO:00002042),99999,207.0439,35.44666,TARA_065,21.81684
ERR594320,0.215292,5,ERS490035,surface water layer (ENVO:00002042),99999,207.0439,35.44666,TARA_065,21.81684
ERR599218,0.215292,5,ERS490045,surface water layer (ENVO:00002042),99999,207.0439,35.44666,TARA_065,21.81684
ERR594361,0.215292,5,ERS490053,surface water layer (ENVO:00002042),99999,207.0439,35.44666,TARA_065,21.81684
ERR594359,0.215292,5,ERS490053,surface water layer (ENVO:00002042),99999,207.0439,35.44666,TARA_065,21.81684
ERR599034,0,850,ERS490065,mesopelagic zone (ENVO:00000213),99999,197.9725,34.65115,TARA_065,8.4127
ERR598960,0,850,ERS490065,mesopelagic zone (ENVO:00000213),99999,197.9725,34.65115,TARA_065,8.4127
ERR598990,0.272648,30,ERS490085,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,206.43725,99999,TARA_065,21.81495
ERR599110,0.272648,30,ERS490085,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,206.43725,99999,TARA_065,21.81495
ERR599018,0.272648,30,ERS490085,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,206.43725,99999,TARA_065,21.81495
ERR594291,0.272648,30,ERS490089,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,206.43725,99999,TARA_065,21.81495
ERR594414,0.272648,30,ERS490120,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,206.43725,99999,TARA_065,21.81495
ERR594382,0.272648,30,ERS490120,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,206.43725,99999,TARA_065,21.81495
ERR598973,0.250054,5,ERS490124,surface water layer (ENVO:00002042),2.450991,238.916333,35.323317,TARA_066,15.033492
ERR599068,0.250054,5,ERS490124,surface water layer (ENVO:00002042),2.450991,238.916333,35.323317,TARA_066,15.033492
ERR599173,0.250054,5,ERS490124,surface water layer (ENVO:00002042),2.450991,238.916333,35.323317,TARA_066,15.033492
ERR594362,0.250054,5,ERS490142,surface water layer (ENVO:00002042),2.450991,238.916333,35.323317,TARA_066,15.033492
ERR598982,0.424363,30,ERS490163,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,240.4135,35.3315,TARA_066,15.01895
ERR599107,0.424363,30,ERS490163,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,240.4135,35.3315,TARA_066,15.01895
ERR594389,0.424363,30,ERS490180,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,240.4135,35.3315,TARA_066,15.01895
ERR598994,1.551493,5,ERS490183,surface water layer (ENVO:00002042),0.405607,249.351417,34.845292,TARA_067,12.83445
ERR599144,1.551493,5,ERS490183,surface water layer (ENVO:00002042),0.405607,249.351417,34.845292,TARA_067,12.83445
ERR594313,1.551493,5,ERS490192,surface water layer (ENVO:00002042),0.405607,249.351417,34.845292,TARA_067,12.83445
ERR594325,1.551493,5,ERS490193,surface water layer (ENVO:00002042),0.405607,249.351417,34.845292,TARA_067,12.83445
ERR599302,1.551493,5,ERS490201,surface water layer (ENVO:00002042),0.405607,249.351417,34.845292,TARA_067,12.83445
ERR594395,1.551493,5,ERS490204,surface water layer (ENVO:00002042),0.405607,249.351417,34.845292,TARA_067,12.83445
ERR594404,1.551493,5,ERS490204,surface water layer (ENVO:00002042),0.405607,249.351417,34.845292,TARA_067,12.83445
ERR599131,0.011208,700,ERS490230,mesopelagic zone (ENVO:00000213),25.846888,195.168847,34.477664,TARA_068,7.026748
ERR598947,0.011208,700,ERS490230,mesopelagic zone (ENVO:00000213),25.846888,195.168847,34.477664,TARA_068,7.026748
ERR594302,0.011208,700,ERS490238,mesopelagic zone (ENVO:00000213),25.846888,195.168847,34.477664,TARA_068,7.026748
ERR599129,0.201517,5,ERS490265,surface water layer (ENVO:00002042),99999,231.914833,35.68685,TARA_068,16.832058
ERR599171,0.201517,5,ERS490265,surface water layer (ENVO:00002042),99999,231.914833,35.68685,TARA_068,16.832058
ERR599174,0.201517,5,ERS490265,surface water layer (ENVO:00002042),99999,231.914833,35.68685,TARA_068,16.832058
ERR594318,0.201517,5,ERS490272,surface water layer (ENVO:00002042),99999,231.914833,35.68685,TARA_068,16.832058
ERR594297,0.201517,5,ERS490273,surface water layer (ENVO:00002042),99999,231.914833,35.68685,TARA_068,16.832058
ERR594391,0.201517,5,ERS490285,surface water layer (ENVO:00002042),99999,231.914833,35.68685,TARA_068,16.832058
ERR599056,0.42458,50,ERS490296,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,231.683361,35.687803,TARA_068,16.787411
ERR599103,0.42458,50,ERS490296,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,231.683361,35.687803,TARA_068,16.787411
ERR599017,0.42458,50,ERS490296,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,231.683361,35.687803,TARA_068,16.787411
ERR594294,0.42458,50,ERS490303,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,231.683361,35.687803,TARA_068,16.787411
ERR594348,0.42458,50,ERS490304,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,231.683361,35.687803,TARA_068,16.787411
ERR599229,0.42458,50,ERS490314,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,231.683361,35.687803,TARA_068,16.787411
ERR594415,0.42458,50,ERS490320,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,231.683361,35.687803,TARA_068,16.787411
ERR599165,0.324315,5,ERS490327,surface water layer (ENVO:00002042),0.168013,215.650833,36.376225,TARA_070,19.776808
ERR599135,0.324315,5,ERS490327,surface water layer (ENVO:00002042),0.168013,215.650833,36.376225,TARA_070,19.776808
ERR594349,0.324315,5,ERS490336,surface water layer (ENVO:00002042),0.168013,215.650833,36.376225,TARA_070,19.776808
ERR594335,0.324315,5,ERS490337,surface water layer (ENVO:00002042),0.168013,215.650833,36.376225,TARA_070,19.776808
ERR599305,0.324315,5,ERS490343,surface water layer (ENVO:00002042),0.168013,215.650833,36.376225,TARA_070,19.776808
ERR594353,0.324315,5,ERS490346,surface water layer (ENVO:00002042),0.168013,215.650833,36.376225,TARA_070,19.776808
ERR599149,0.003811,800,ERS490373,mesopelagic zone (ENVO:00000213),37.7793,161.730633,34.443883,TARA_070,4.216697
ERR599044,0.003811,800,ERS490373,mesopelagic zone (ENVO:00000213),37.7793,161.730633,34.443883,TARA_070,4.216697
ERR594299,0.003811,800,ERS490380,mesopelagic zone (ENVO:00000213),37.7793,161.730633,34.443883,TARA_070,4.216697
ERR594308,0.003811,800,ERS490380,mesopelagic zone (ENVO:00000213),37.7793,161.730633,34.443883,TARA_070,4.216697
ERR594331,0.003811,800,ERS490382,mesopelagic zone (ENVO:00000213),37.7793,161.730633,34.443883,TARA_070,4.216697
ERR599207,0.003811,800,ERS490387,mesopelagic zone (ENVO:00000213),37.7793,161.730633,34.443883,TARA_070,4.216697
ERR594407,0.003811,800,ERS490388,mesopelagic zone (ENVO:00000213),37.7793,161.730633,34.443883,TARA_070,4.216697
ERR598984,0.050608,5,ERS490433,surface water layer (ENVO:00002042),0.263475,199.1195,36.42324,TARA_072,25.02619
ERR599105,0.050608,5,ERS490433,surface water layer (ENVO:00002042),0.263475,199.1195,36.42324,TARA_072,25.02619
ERR599276,0.050608,5,ERS490448,surface water layer (ENVO:00002042),0.263475,199.1195,36.42324,TARA_072,25.02619
ERR594364,0.050608,5,ERS490452,surface water layer (ENVO:00002042),0.263475,199.1195,36.42324,TARA_072,25.02619
ERR599137,0.263939,100,ERS490476,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.241265,194.428431,36.603343,TARA_072,24.112672
ERR599133,0.263939,100,ERS490476,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.241265,194.428431,36.603343,TARA_072,24.112672
ERR599307,0.263939,100,ERS490490,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.241265,194.428431,36.603343,TARA_072,24.112672
ERR594379,0.263939,100,ERS490494,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.241265,194.428431,36.603343,TARA_072,24.112672
